name,calorias,gorduras totais,gorduras saturadas,gorduras trans,colesterol,sódio,carboidratos,fibras,açúcares,proteínas,vitamina A,vitamina C,cálcio,ferro,sal,cafeína,categoria,rede
BREWED COFFEE - TRUE NORTH BLEND BLONDE ROAST SHORT,1.011102991015541,1.0,1.0,1.0,1.0,1.012370633394474,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0264543022184618,BEBIDAS,#24704D
BREWED COFFEE - TRUE NORTH BLEND BLONDE ROAST TALL,1.0148039880207211,1.0,1.0,1.0,1.0,1.0247412667889482,1.0,1.0,1.0,1.0670809637588254,1.0,1.0,1.0,1.0,0.0,1.0396814533276928,BEBIDAS,#24704D
BREWED COFFEE - TRUE NORTH BLEND BLONDE ROAST GRANDE,1.0185049850259014,1.0,1.0,1.0,1.0,1.0247412667889482,1.0,1.0,1.0,1.0670809637588254,1.0,1.0,1.0,1.0,0.0,1.0529086044369238,BEBIDAS,#24704D
BREWED COFFEE - TRUE NORTH BLEND BLONDE ROAST VENTI®,1.0185049850259014,1.0,1.0,1.0,1.0,1.0247412667889482,1.0,1.0,1.0,1.0670809637588254,1.0,1.0,1.1199919212466907,1.0,0.0,1.0698099641876078,BEBIDAS,#24704D
CAFFÈ MISTO SHORT,1.1480398802072114,1.1700637128555358,1.299657553254635,1.0,1.0,1.1113357005502666,1.0158727963370273,1.0,1.1246385369231837,1.0,1.0,1.0,1.0,1.0,0.0,1.011022625924359,BEBIDAS,#24704D
CAFFÈ MISTO TALL,1.2960797604144227,1.1700637128555358,1.1997717021697567,1.0,1.2410288407501218,1.1979301343115851,1.0317455926740546,1.0,1.3323694317951567,1.3354048187941268,1.4600036267289607,1.0,2.1999192124669054,1.0,0.0,1.016901359750684,BEBIDAS,#24704D
CAFFÈ MISTO GRANDE,1.4071096705698314,1.2267516171407142,1.1997717021697567,1.0,1.2410288407501218,1.2474126678894812,1.0396819908425683,1.0,1.4154617897439459,1.4695667463117774,1.5750045334112008,1.0,2.4998990155836314,1.0,0.0,1.0220452518487182,BEBIDAS,#24704D
CAFFÈ MISTO VENTI®,1.5921595208288457,1.5101911385666074,1.4994292554243918,1.0,1.4017147345835363,1.2968952014673776,1.0515865880953388,1.0,1.5401003266671296,1.603728673829428,1.5750045334112008,1.0,2.4998990155836314,1.0,0.0,1.0286588274033337,BEBIDAS,#24704D
CLOVER® BREWED COFFEE - DARK ROAST SHORT,1.0370099700518027,1.0,1.0,1.0,1.0,1.012370633394474,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.027923985675043,BEBIDAS,#24704D
CLOVER® BREWED COFFEE - DARK ROAST TALL,1.0370099700518027,1.0,1.0,1.0,1.0,1.0247412667889482,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.041151136784274,BEBIDAS,#24704D
CLOVER® BREWED COFFEE - DARK ROAST GRANDE,1.0370099700518027,1.0,1.0,1.0,1.0,1.0247412667889482,1.0,1.0,1.0,1.0670809637588254,1.0,1.0,1.0,1.0,0.0,1.0558479713500861,BEBIDAS,#24704D
